SOURCE_DATASET_r,SOURCE_DATASET_l,unique_id_l,unique_id_r,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED_l,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED_r,BEGIN_PUBLICATION_DATE_l,BEGIN_PUBLICATION_DATE_r,extent_normalized_l,extent_normalized_r,EDITION_l,EDITION_r,AUTHOR_l,AUTHOR_r,title_similarity,author_similarity,decision,timestamp,notes,reviewer
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_10704,UMontreal_Results_Oct24_10705,sociocriminologie-jerk-2001,sociocriminologiei-arca-2001,2001,2001,,,Hiver 2001.,Hiver 2001.,"Jerkovic, J.","Arcand, Suzanne.",0.8727272727272728,0.2142857142857143,ignore,,,
UBC_Results_Oct23,UBC_Results_Oct23,UBC_Results_Oct23_549,UBC_Results_Oct23_551,colonyandconfederationearlycanadianpoetsandtheirbackground--1974,colonyandconfederationearlycanadianpoetsandtheirbackgroundwithanintrodbyroy-wood-1974,1974,1974,"vii, 218 p.","vii, 218 p.",,,,"Woodcock, George,",0.8590604026845639,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_9804,Toronto_Results_Oct19_9805,proceedingsofthexinternationalcongressofgeneticsaug20271958mcgilluniversity--1958,proceedingsofthexinternationalcongressofgeneticsaugust20271958mcgillunivers--1958,1958,1958,2 volumes :,2 volumes :,,,,,0.962962962962963,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_787,Toronto_Results_Oct19_789,basicfilingrulesforuseinthecourseinlibraryrecords--1961,basicfilingrulesforuseinthecourseinlibraryscience--1961,1961,1961,27 p.,27 p.,,,,,0.9090909090909092,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_2627,Toronto_Results_Oct19_2628,constitutionalismandnationalisminlowercanada--1969,constitutionalismandnationalisminlowercanadaessays--1969,1969,1969,"x, 94 p.","x, 94 p.",,,,,0.9433962264150944,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_7762,Toronto_Results_Oct19_7763,minoritiesschoolsandpolitics--1969,minoritiesschoolsandpoliticsessays--1969,1969,1969,"xi, 111 p.","xi, 111 p.",,,,,0.9189189189189187,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_8851,Toronto_Results_Oct19_8855,ourlivingtraditionsevencanadians--1957,ourlivingtraditionsevencanadiansseries1--1957,1957,1957,"x, 149 p.","x, 149 p.",,,,,0.9156626506024096,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_3306,Toronto_Results_Oct19_3318,dictionaryofcanadianbiography--1960,dictionaryofcanadianbiographypreliminarylistsofnames--1960,1960,1960,v.,v.,,,,,0.7526881720430108,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_11852,Toronto_Results_Oct19_11863,studieslegalseries--1931,studiesorientalseries--1931,1931,1931,3 v.,3 v.,,,,,0.8627450980392157,,ignore,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_12736,Toronto_Results_Oct19_12752,universityoftorontolawjournal--1935,universityoftorontostudies--1935,1935,1935,volumes,volumes,,,,,0.7761194029850746,,ignore,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_12732,Toronto_Results_Oct19_12733,universityoftorontoinstallationlectures19583lectures--1959,universityoftorontoinstallationlectures19583lecturesbyfryekluckhohnandwiggl--1959,1959,1959,67 p.,67 p.,,,,,0.8345323741007195,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_6827,Toronto_Results_Oct19_6830,lecanadafrancaisdaujourdhui--1970,lecanadafrancaisdaujourdhuietudesrassemblees--1970,1970,1970,161 pages,161 pages,,,,,0.7951807228915662,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_8775,Toronto_Results_Oct19_8778,orderandgoodgovernment33rdcouchichingconference--1965,orderandgoodgovernmentproceedings--1965,1965,1965,"x, 155 p.","x, 155 p.",,,,,0.7391304347826086,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_6811,Toronto_Results_Oct19_6818,learningaboutanger-stew-1999,learningmoreaboutanger-stew-1999,1999,1999,27 p. :,27 p. :,,,"Stewart, Jan, 1967-","Stewart, Jan, 1967-",0.9333333333333332,1.0,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_1615,Toronto_Results_Oct19_1616,canadiandualismstudiesofenglishfrenchrelationsladualitecanadienneessaissurl--1960,canadiandualismstudiesoffrenchenglishrelations--1960,1960,1960,"xxv, 427 pages","xxv, 427 pages",,,,,0.6917293233082706,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_12761,Toronto_Results_Oct19_12762,universitytelevisionreportofthesubcommitteeontelevisionandthepresidentsrese--1965,universitytelevisionreporttothecommitteeofpresidentsofprovinciallyassistedu--1965,1965,1965,"iv, 28 p.","iv, 28 p.",,,,,0.7283950617283951,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_9684,Toronto_Results_Oct19_9685,pressandthepublic8thwinterconference--1962,pressandthepublic8thwinterconferencepresentedbythecanadianinstituteonpublic--1962,1962,1962,38 p.,38 p.,,,,,0.6829268292682926,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_1811,Toronto_Results_Oct19_1812,canadiansovietrelationsbetweentheworldwars-bala-1972,canadiansovietrelationsbetweentheworldwarsbyaloysiusbalawyder-bala-1972,1972,1972,"ix, 248 p.","ix, 248 p.",,,"Balawyder, Aloysius,","Balawyder, Aloysius.",0.8455284552845528,0.95,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_1303,Toronto_Results_Oct19_1304,browningsvoicesintheringandthebook-sull-1969,browningsvoicesintheringandthebookastudyofmeaning-sull-1969,1969,1969,"xv, 226 p.","xv, 226 p.",,,"Sullivan, Mary Rose.","Sullivan, Mary Rose.",0.854368932038835,1.0,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_753,Toronto_Results_Oct19_754,balticmaterialintheuniversityoftorontolibraryabibliographycompiledbyelviaer--1972,balticmaterialsintheuniversityoftorontolibraryabibliography-aere-1972,1972,1972,125 p.,125 p.,,,,"Aer, Elvi.",0.88,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_10979,Toronto_Results_Oct19_10980,secondcanadianconferenceoneducationareport--1962,secondcanadianconferenceoneducationareportrapportdeladeuxiemeconferencecana--1962,1962,1962,"xvii, 409 pages","xvii, 409 pages",,,,,0.7441860465116279,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_62,Toronto_Results_Oct19_63,actuarialproblemsproblemsinlifecontingencies-mack-1947,actuarialproblemsproblemsinlifecontingenciesmainlytakenfromtheexaminationso-mack-1947,1947,1947,95 p.,95 p.,,,"Mackenzie, Michael Alexander,","Mackenzie, Michael Alexander,",0.7769784172661871,1.0,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_13417,Toronto_Results_Oct19_13418,worldtradeandtradepolicycomprisingthreestudies-engl-1968,worldtradeandtradepolicycomprisingthreestudiesofthecanadaintheatlanticecono--1968,1968,1968,1 volume (various pagings),1 volume (various pagings),,,"English, H. Edward",,0.7883211678832117,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_103,Toronto_Results_Oct19_110,admissiontodegreesdentistry-univ-1942,admissiontodegreesveterinaryscience-univ-1942,1942,1942,3 p.,3 p.,,,University of Toronto.,University of Toronto.,0.804878048780488,1.0,ignore,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_11823,Toronto_Results_Oct19_11825,studiavarialiteraryandscientificpapersetudesliterairesetscientifiques--1957,studiavarialiteraryandscientificpapersroyalsocietyofcanadaetudeslitteraires--1957,1957,1957,"vi, 127 p.","vi, 127 p.",,,,,0.7692307692307692,,merge,,,
Toronto_Results_Oct19,Toronto_Results_Oct19,Toronto_Results_Oct19_5227,Toronto_Results_Oct19_5228,greatmigrationtheatlanticcrossingbysailingshipsince1770-guil-1963,greatmigrationtheatlanticcrossingbysailingshipsince1770theatlanticcrossingb-guil-1963,1963,1963,"xii, 284, 16 p. :","xii, 284, 16 p. :",2d ed. --,2nd ed.,"Guillet, Edwin C.","Guillet, Edwin C.",0.8666666666666667,1.0,merge,,,
